CMUN,POP21
08067,7595
08268,1190
08266,57217
08068,9233
08069,4655
08070,387
08071,322
08072,15017
08073,89300
08074,16051
08075,5685
08076,22358
08077,46777
08078,258
08254,2198
08079,408
08134,1127
08080,46
08082,1540
08081,467
08083,2269
08084,1495
08085,1440
08086,20351
08090,189
08087,183
08088,16733
08089,46931
08091,7723
08092,4916
08093,27
08094,2207
08095,85
08096,62475
08097,1585
08099,929
08100,2705
08101,264657
08162,3064
08102,40875
08103,825
08104,917
08105,13259
08107,15673
08108,6580
08106,10116
08109,271
08110,18950
08111,276
08112,20804
08113,78192
08242,271
08114,28667
08115,4823
08116,704
08117,3178
08118,23848
08119,9623
08120,9672
08121,129120
08122,2419
08138,6474
08123,26104
08124,51151
08128,716
08127,3178
08125,36794
08130,136
08131,1048
08126,12260
08132,472
08133,158
08135,8798
08136,16804
08137,362
08129,655
08139,231
08140,6068
08141,5973
08142,176
08143,3681
08145,3847
08146,1923
08147,24132
08148,4127
08149,1190
08144,874
08150,339
08151,547
08152,154
08153,779
08154,915
08155,9646
08156,14917
08157,11636
08905,3015
08158,4232
08159,18907
08160,412
08161,16411
08163,27974
08164,1306
08165,2207
08166,1063
08167,8494
08182,4016
08168,523
08169,65532
08171,2634
08170,551
08230,10419
08172,28523
08174,551
08175,4289
08176,206
08177,51
08178,549
08179,868
08180,39139
08181,10676
08183,6449
08184,78549
08185,236
08901,296
08187,216204
08188,151
08190,283
08191,6717
08194,37283
08195,92
08196,27175
08197,11150
08198,6383
08199,913
08200,83755
08201,573
08203,3570
08202,18176
08204,4193
08205,94012
08206,1004
08207,2997
08208,7771
08210,6406
08211,45463
08212,617
08209,8997
08213,8936
08215,3547
08193,1438
08216,28
08218,10871
08217,34130
08903,235
08220,3152
08221,19379
08222,2459
08223,2514
08225,107
08224,1186
08226,1236
08227,3286
08228,344
08229,614
08231,31525
08232,2411
08233,2488
08234,4671
08189,159
08235,5538
08236,2367
08237,2145
08238,20156
08239,660
08240,12840
08241,76
08098,3243
08262,9868
08264,6523
08265,2077
08263,28115
08243,179
08244,8273
08245,119289
08246,2259
08247,1409
08248,7538
08249,378
08250,10192
08251,7664
08253,161
08256,882
08255,180
08257,129
08259,9666
08258,1065
08260,26033
08261,3650
08192,7566
08267,9347
08269,3696
08270,30217
08271,78
08272,211
08273,3149
08274,5923
08276,325
08277,222
08278,6687
08275,329
08280,113
08281,6532
08279,223011
08282,9009
08283,8368
08284,17788
08285,14553
08286,3852
08287,1429
08288,2479
08289,6126
08290,2096
08291,7082
08292,1375
08293,258
08294,3052
08295,15438
08296,2594
08297,179
08298,47319
08299,424
08301,66707
08300,7621
08305,39969
08306,758
08303,314
08302,12736
08902,5535
08307,67458
08214,9074
08219,20936
08304,1128
08308,175
48001,7618
48002,9436
48911,483
48912,2944
48003,19576
48004,414
48005,160
48006,399
48093,1271
48009,989
48914,424
48010,575
48011,12140
48023,742
48008,726
48091,1366
48070,646
48012,2775
48090,7651
48013,100907
48014,1554
48015,40535
48092,1076
48016,7271
48017,16784
48018,1232
48019,4537
48020,346405
48021,1649
48901,6780
48026,1472
48027,29935
48028,820
48031,344
48032,7383
48902,24489
48033,263
48034,15791
48079,489
48029,11664
48030,790
48906,910
48035,548
48036,29404
48037,842
48038,1383
48039,329
48040,1674
48041,854
48046,17093
48044,77139
48047,200
48042,1723
48043,6022
48045,6699
48048,670
