CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
03046,3201,94.74557695793743,46,15.5,23,2.47,25.2,66.9,33.099999999999994
03047,23103,979.1449547587872,44.8,15.5,23.1,2.43,30.9,51.6,48.4
03048,7497,216.67814721117392,42.4,18,18.1,2.64,27.1,79.9,20.099999999999994
03049,19206,772.0957096992023,39.6,22.2,16.2,2.94,22.1,77.5,22.5
03050,28769,521.8430958853911,44,16.8,20.3,2.37,33.7,81.7,18.299999999999997
03051,428,19.65521235474364,45.3,14.5,19.9,2.35,35.7,95.6,4.400000000000006
03052,1191,61.74651229861779,44.7,17.8,21.8,2.56,26.7,96,4
03053,10756,94.0192262041151,43.1,17.2,19,2.41,29.6,88.1,11.900000000000006
03054,412,8.987586336272825,51.9,10,34,2.04,42.1,82.6,17.400000000000006
03055,8892,444.6767355866381,42.1,19.5,19.1,2.66,23.7,75.6,24.400000000000006
03056,11345,214.67795573791767,44.4,16.5,21.3,2.5,27.6,88.1,11.900000000000006
03057,275,6.89029439114466,50.4,10.6,32,1.92,49,81.6,18.400000000000006
03058,7353,440.6227308057988,40.1,20.4,15.5,2.84,21.8,83.2,16.799999999999997
03059,29300,280.64497080015275,41.1,20,16.9,2.73,23.1,86.9,13.099999999999994
03060,117,7.016714008949404,56.3,7.7,42.7,1.83,45.3,94.9,5.099999999999994
03061,1733,244.621903323615,45.6,15.8,24.6,2.38,33.1,73.4,26.599999999999994
03062,701,223.3617931096686,54.3,8.4,39.9,2.15,27.6,37.1,62.9
03063,42395,640.2580233289033,43.5,16.5,19,2.48,31.3,77.5,22.5
03064,7545,403.9728686675399,41.7,19.2,18.1,2.63,27.2,81.7,18.299999999999997
03065,232630,713.510113804379,41.8,18.6,17.4,2.69,24.9,89.1,10.900000000000006
03066,52130,1145.1518972758067,44.1,16.6,21.4,2.49,27.6,94.1,5.900000000000006
03067,104,10.240613266213392,56.1,1.9,37.5,2.08,42,93.3,6.700000000000003
03068,45,4.636309541530446,61,4.4,48.9,1.5,60,91.1,8.900000000000006
03069,7400,175.49999577914085,41.4,18.1,15.2,2.36,33.2,58.4,41.6
03070,4344,1003.9778813406681,44.2,16.8,21.4,2.38,32.1,61.3,38.7
03071,6190,305.062479612534,43.7,16.8,20,2.67,24.5,78.2,21.799999999999997
03072,511,53.49230014191895,44.8,16.4,21.7,2.35,34.6,90.9,9.099999999999994
03073,259,28.493794893185463,50.5,8.1,27.4,2.35,30,96.6,3.4000000000000057
03074,2614,365.1126314956265,40.2,20.4,15.8,2.87,20.1,81.8,18.200000000000003
03075,245,15.37856515855209,48.9,8.6,21.6,2.08,33.9,73.3,26.700000000000003
03076,15732,464.14240406352513,45,16.2,23,2.33,33,67.6,32.400000000000006
03077,2633,38.29883679961468,51.4,10.4,34.7,2.17,30,63.2,36.8
03078,1288,102.8126305026471,53.7,10.5,38.6,2.18,26.1,46.4,53.6
03079,23593,378.0073799538917,43.2,16.9,19.4,2.51,26.2,93.7,6.299999999999997
03080,1930,158.33494164364853,45.1,16.1,22.5,2.5,27.8,80.3,19.700000000000003
03081,2862,82.9039499505171,47.9,15,29.2,2.39,31.6,63.4,36.6
03082,27993,406.8842288932788,44.6,16.3,22.4,2.47,30.5,57,43
03083,6806,41.632034866386675,45.2,15.9,21.8,2.29,34,93.1,6.900000000000006
03084,569,17.94761728289081,53,7.7,35.3,2.18,31.4,94.4,5.599999999999994
03085,895,40.8812093547723,51.8,11,33.9,2.32,28.2,39.5,60.5
03086,232,23.784665697083216,50.8,7.8,31.5,2.17,31.8,75.6,24.400000000000006
03088,8478,106.77865237598374,39.7,20,13.6,2.58,27,89.5,10.5
03089,12127,79.72516944955825,44.3,16.9,21.3,2.44,28.4,92.8,7.200000000000003
03090,25453,534.2862675394591,40.6,19.8,14.8,2.73,23.3,89.3,10.700000000000003
03091,539,92.89160664703836,55.4,10,39.7,2.01,38.8,52.8,47.2
03092,9283,307.52191341451265,41.8,19.7,17.5,2.63,23.9,89.1,10.900000000000006
03093,25514,337.46491430605363,42.8,17.2,18.3,2.58,26.5,92.2,7.799999999999997
03094,17748,832.2797559390559,41.3,19.5,16,2.73,24.7,70.3,29.700000000000003
