,CTOT,CMUN,Municipality,CCI,Digitalization,Energy_Climate_Resources,Mobility,Waste
58,0111020,11020,Jerez De La Frontera,0.7562340931775445,0.95612370858865,0.9166666666666665,0.45004675729907284,0.6666666666666666
59,0111021,11021,Jimena De La Frontera,0.7050241176170853,0.9456194628041064,0.9166666666666665,0.20450112528132033,0.6666666666666666
60,1531257,31257,Villatuerta,0.6182322367616485,0.6230769230769231,0.9166666666666665,0.34308426073131953,0.5
61,1531258,31258,Villava/Atarrabia,0.7140606136534474,0.9538461538461538,0.9166666666666665,0.2414569144210838,0.6666666666666666
62,1531261,31261,Yesa,0.5049221768528276,0.5954442175974711,0.9166666666666665,0.3041666666666667,0.16666666666666666
63,1726073,26073,Herramélluri,0.4207692307692308,0.9538461538461538,0.3333333333333333,0.4,0.16666666666666666
64,1110093,10093,Hernán-Pérez,0.6814691829909221,0.9573459149546106,0.9999999999999999,0.2,0.5
65,1110094,10094,Herrera De Alcántara,0.3650004882454898,0.9445676586187535,0.3333333333333333,0.13043478260869562,0.16666666666666666
66,1531259,31259,Igantzi,0.6054143519204094,0.5998571088354371,0.9166666666666665,0.30221465076660986,0.5
67,1531260,31260,Valle De Yerri/Deierri,0.6948684380056467,0.6109544740973313,0.9166666666666665,0.2383877159309021,0.8333333333333333
68,0222162,22162,Novales,0.34076923076923077,0.9538461538461538,0.3333333333333333,0.0,0.16666666666666666
69,0222163,22163,Nueno,0.3387755425781069,0.9427703875072295,0.3333333333333333,0.25110732538330494,0.0
70,1012001,12001,Atzeneta Del Maestrat,0.6798571518867328,0.9492857594336641,0.9999999999999999,0.2,0.5
71,1012002,12002,Aín,0.48036564332528464,0.9518282166264229,0.3333333333333333,0.2,0.5
72,0111029,11029,Puerto Serrano,0.6324832101134376,0.6374160505671878,0.9166666666666665,0.4,0.5
73,0111030,11030,Rota,0.7965806233681051,0.9476732866557065,0.9166666666666665,0.41022983018481896,0.8333333333333333
74,0111031,11031,San Fernando,0.8236459478081435,0.9603239340716561,0.8333333333333333,0.4079058049690619,1.0
75,1531263,31263,Zubieta,0.4674447122697807,0.6135393508225878,0.9166666666666665,0.09868421052631578,0.16666666666666666
76,1531264,31264,Zugarramurdi,0.36769230769230765,0.5884615384615385,0.3333333333333333,0.0,0.5
77,1531265,31265,Zúñiga,0.5028066528066528,0.5640332640332639,0.3333333333333333,0.7,0.5
78,1531901,31901,Barañáin/Barañain,0.5768099082415289,0.9538274085324823,0.3333333333333333,0.43022213267516246,0.6666666666666666
79,0111032,11032,Sanlúcar De Barrameda,0.8412515703236583,0.9308262404136649,0.9166666666666665,0.4004316112046269,1.0
80,0111033,11033,San Roque,0.8515298236160462,0.9677320940265298,0.9166666666666665,0.4149170240537013,1.0
81,1620006,20006,Alkiza,0.21382791121921552,0.5691395560960777,0.3333333333333333,0.0,0.0
82,1620903,20903,Astigarraga,0.5116845702974117,0.6124938326979142,0.3333333333333333,0.4459290187891441,0.6666666666666666
83,1620904,20904,Baliarrain,0.4064048307419127,0.5820241537095635,0.3333333333333333,0.2,0.5
84,1620905,20905,Orendain,0.4525464190981432,0.6127320954907162,0.3333333333333333,0.4,0.5
85,1012003,12003,Albocàsser,0.5286612616175598,0.943306308087799,0.3333333333333333,0.2,0.6666666666666666
86,1012004,12004,Alcalà De Xivert,0.7142546891728556,0.9610843859330274,0.9166666666666665,0.4851890599312509,0.5
87,1012005,12005,L'Alcora,0.6007672889355904,0.9609370359370359,0.3333333333333333,0.29289940874091575,0.8333333333333333
88,1012006,12006,Alcudia De Veo,0.4207692307692308,0.6538461538461539,0.3333333333333333,0.2,0.5
89,1012007,12007,Alfondeguilla,0.3818711018711019,0.9593555093555093,0.3333333333333333,0.2,0.16666666666666666
90,1012008,12008,Algimia De Almonacid,0.4307692307692308,0.9538461538461538,0.3333333333333333,0.2,0.3333333333333333
