CMUN,INCOME_PERC_UNEMPLOYMENT_BENEFITS_OF_AVERAGE_SALARY_2020
05901,8.619628124615195
05902,6.945329425258061
05903,9.354243542435423
05904,9.04927353126974
05905,10.96621221102549
06001,16.921858500527982
06002,18.02797833935018
06003,18.45511482254697
06004,19.174615534358573
06005,17.414347908385388
06006,13.522012578616351
06007,16.343669250645995
06008,12.653678834878
06009,12.7779469996954
06010,18.761061946902654
06011,11.07183030692592
06012,21.502105755732334
06013,21.57829839704069
06014,11.708804016496325
06015,6.984687868080094
06016,16.195265032474335
06017,27.988338192419825
06018,28.561872909698998
06019,21.032685930838465
06020,13.958944281524927
06021,14.379391100702577
06022,15.71784985257428
06023,12.885314953092092
06024,19.39240506329114
06025,13.64588367971645
06026,18.32274459974587
06027,15.467328370554176
06028,12.35315058739765
06029,19.147940074906366
06030,19.32462410648262
06031,35.620810724545166
06032,
06033,17.851959361393323
06034,17.35480943738657
06035,12.565775626183962
06036,13.463181274560053
06037,23.259349346305868
06038,26.672433679354096
06039,18.137553256238586
06040,30.900243309002434
06041,20.363310159228526
06042,28.722252301028696
06043,10.365068002863278
06044,8.68869936034115
06045,25.04604051565378
06046,11.281865847043933
06047,20.143528829497647
06048,11.557603686635945
06049,14.962476547842401
06050,11.5736885928393
06051,25.52763819095477
06052,12.163597733711049
06053,17.33304042179262
06054,15.20136131593874
06055,19.873577749683943
06056,19.64969896004379
06057,29.11237785016287
06058,13.756133018353625
06059,14.397463002114163
06060,16.583874665647688
06061,14.380877742946707
06062,13.260219341974079
06063,13.063233623627413
06064,28.594950603732162
06065,27.747791952894996
06066,24.82898403851026
06067,11.182541025207241
06068,30.23255813953488
06069,20.73448905109489
06070,10.200497585248062
06071,25.257588415483152
06072,14.43944433574643
06073,26.487148102815176
06074,9.784477059367976
06075,17.135862913096695
06076,27.321937321937323
06077,31.636477201748907
06078,24.02791625124626
06079,23.46093133385951
06080,14.257673090649536
06081,16.467556804872334
06082,16.56038262255879
06083,8.015220326500552
06084,10.267155578837087
06085,14.037940379403793
06086,20.99462365591398
06087,19.05227161700049
06088,13.03732531399257
06089,18.97569034694359
06090,18.489517554938114
06091,11.79110567115463
06092,18.819982773471146
06093,18.95141895141895
06094,34.51529882756649
06095,14.275862068965516
06096,23.07478454267445
06097,11.648963956120495
