CMUN,AGRI_LIVESTOCKUNITS_DENSITY_KM2_2020,AGRI_CATTLEFARMS_DENSITY_KM2_2020
23059,0.8628570166061655,0.033727310095355005
23076,1.4485628660380903,0.04819363147465129
23096,7.155542038517089,0.03828028374223399
23008,4.893131785270237,0.04553162331206796
23025,0.0,0.0
23029,1.0761982839548068,0.02971750685476784
23062,0.0,0.0
23063,8.756279005680446,0.05692549087037086
23079,7.374920845444045,0.03759974211078537
23084,0.0,0.0
23094,7.445270691464542,0.04395731773558401
23905,0.0,0.0
23012,0.9318503664736554,0.15708873339070387
23016,0.0,0.0
23037,3.270230775900402,0.0630102268959615
23043,0.0,0.0
23065,0.0,0.0
23071,0.0,0.0
23072,0.0,0.0
23904,0.7024428472682547,0.01467396798137152
23081,0.5807152087905607,0.022266687453625793
23082,0.0,0.0
23091,0.0,0.0
23101,0.0,0.0
23006,0.0,0.0
23007,0.0,0.0
23010,0.0,0.0
23027,0.0,0.0
23031,0.0,0.0
23032,0.0,0.0
23035,0.0,0.0
23041,0.0,0.0
23049,0.0,0.0
23040,0.0,0.0
23055,5.203734645810314,0.06617289484058896
23056,0.0,0.0
23061,0.0,0.0
23069,0.0,0.0
23077,0.0,0.0
23085,0.0,0.0
23903,0.0,0.0
23009,0.0,0.0
23014,0.0,0.0
23020,0.0,0.0
23046,0.0,0.0
23048,0.0,0.0
23057,0.0,0.0
23074,0.0,0.0
23075,0.0,0.0
23088,0.0,0.0
23092,0.37649447874276926,0.014871407981939536
23095,0.34482138260291006,0.016718612489838067
23097,0.33057343512126847,0.016894724111819512
23003,0.0,0.0
23050,0.0,0.0
23051,0.0,0.0
23058,0.0,0.0
23060,0.0,0.0
23086,0.0,0.0
23087,0.0,0.0
23098,0.0,0.0
23001,0.0,0.0
23902,0.0,0.0
23015,0.0,0.0
23017,0.0,0.0
23018,0.0,0.0
23044,0.0,0.0
23052,0.0,0.0
23053,0.0,0.0
23054,0.0,0.0
23090,0.0,0.0
23028,0.08259789959693986,0.01311077771379998
23030,0.11359483764623803,0.07745102566788956
23042,0.0,0.0
23045,0.0,0.0
23047,0.26730185198510514,0.03230233860847192
23066,0.0,0.0
23070,0.0,0.0
23073,0.0,0.0
23080,0.0,0.0
23002,0.0,0.0
23019,0.0,0.0
23901,0.0,0.0
23026,0.0,0.0
23033,0.0,0.0
23034,0.0,0.0
23038,0.0,0.0
23064,0.0,0.0
23067,0.0,0.0
23093,0.0,0.0
23099,0.0,0.0
29001,7.50755498013992,0.046077465099058426
29003,0.0,0.0
29004,0.0,0.0
29010,0.0,0.0
29015,1.424811424775204,0.02672941421583724
29017,0.67295449630778,0.01608656166472781
29018,0.0,0.0
29032,0.0,0.0
29035,4.701205002316497,0.01817710401720517
29039,0.0,0.0
29043,0.0,0.0
29047,0.0,0.0
29049,0.0,0.0
29048,0.0,0.0
29055,0.0,0.0
29059,0.0,0.0
29072,0.0,0.0
29083,0.0,0.0
29088,0.0,0.0
29089,0.0,0.0
29095,0.0,0.0
29902,0.0,0.0
29098,0.0,0.0
29096,0.0,0.0
29097,0.0,0.0
29006,2.639625850268644,0.3546522255639253
29014,0.0,0.0
29020,0.0,0.0
29021,0.0,0.0
29022,0.0,0.0
29024,1.669231477572855,0.2023310881906491
29028,8.840082250432953,0.0936780174895756
29029,0.0,0.0
29031,0.0,0.0
29037,0.0,0.0
29046,5.53865018574063,0.1481684379352365
29052,0.0,0.0
29056,8.855905623126691,0.233826000840218
29057,0.0,0.0
29060,0.0,0.0
29063,0.0,0.0
29064,0.0,0.0
29065,0.0,0.0
29903,4.931360953856745,0.14671211465546288
29074,5.1896730102597255,0.17584660771739857
29077,0.0,0.0
29081,0.0,0.0
29084,4.183548397874673,0.08804292822176271
29904,0.0,0.0
29007,1.4472020447246408,0.036240451871234744
29008,0.3484976418951618,0.05466629676786852
29011,0.0,0.0
29012,1.7410937254313155,0.04713620914873273
29013,4.970690026078104,0.08855148502514439
29023,0.0,0.0
29025,0.0,0.0
29036,0.0,0.0
29038,0.0,0.0
29040,0.8864923895640472,0.026357553703589113
29041,6.794879802116125,0.09841411861488006
29042,3.342420279970023,0.14904009697120496
29051,0.19772876995867703,0.029077760288040738
29054,0.0,0.0
29058,0.0,0.0
29061,0.0,0.0
29067,0.4388773781968959,0.007575558887173116
29068,0.0,0.0
29069,0.0,0.0
29070,0.5466658108637651,0.053726369618060446
29073,0.0,0.0
29076,0.0,0.0
29080,1.0603271679506623,0.04712565190891832
29090,0.0,0.0
29901,0.0,0.0
29093,0.0,0.0
29100,0.0,0.0
29002,0.0,0.0
29005,0.0,0.0
29009,0.0,0.0
29016,0.0,0.0
29019,0.0,0.0
29026,0.0,0.0
29027,0.0,0.0
29030,0.0,0.0
29033,0.0,0.0
29034,0.0,0.0
29044,0.0,0.0
29045,0.0,0.0
29050,0.0,0.0
29053,0.0,0.0
29062,0.0,0.0
29066,0.0,0.0
29071,0.0,0.0
29075,0.0,0.0
29079,0.0,0.0
29082,0.0,0.0
29085,0.0,0.0
29086,0.0,0.0
29087,0.0,0.0
29091,0.0,0.0
29092,0.0,0.0
29094,0.5186079053656528,0.06316783256585297
29099,0.0,0.0
41002,5.65762640695285,0.07123231233179539
41009,7.9369384168829376,0.0860966644501872
41013,5.562034105048087,0.07533909298873154
41027,12.968491565788023,0.15465929931054742
41031,20.19871517232343,0.13150708817337453
41032,7.9419399649602465,0.09275668690273868
41033,15.774920162593157,0.11230069459488365
41043,13.550788348305424,0.11290441883273974
41045,6.30044419650577,0.0620122460286001
41048,1.0894977191072965,0.029130955056344828
41049,16.503494268920154,0.12788962237091747
41057,4.570016719589684,0.06806407880239955
41066,0.0,0.0
41073,13.936369037601729,0.13382278963379882
