CMUN,M4
05069,0.0
05070,0.0
05072,0.9174311926605505
05073,0.0
05074,0.0
05075,0.0
05076,0.0
05077,0.0
05078,0.0
05079,0.0
05080,0.0
05081,0.0
05082,0.0
05083,0.0
05085,0.0
05084,0.0
05086,0.0
05087,0.591715976331361
05088,0.0
05089,0.0
05090,1.4084507042253522
05092,0.0
05093,0.0
05094,0.0
05095,0.0
05096,0.0
05097,0.0
05099,0.2079002079002079
05100,0.0
05102,0.09246417013407304
05101,0.0
05103,0.0
05106,0.0
05104,6.451612903225806
05105,0.2695417789757413
05107,0.0
05108,0.0
05109,0.0
05110,0.0
05113,1.7241379310344827
05112,0.0
05114,0.0
05115,0.0
05116,0.0
05117,0.0
05118,0.0
05119,0.0
05120,0.0
05121,0.0
05122,0.0
05123,0.0
05124,0.0
05125,0.0
05126,0.0
05127,0.0
05128,0.0
05129,0.0
05130,0.0
05131,0.0
05132,0.0
05133,0.0
05134,0.0
05135,0.0
05136,0.0
05138,0.0
05139,0.0
05140,0.0
05141,0.0
05142,0.0
05143,0.0
05144,0.0
05145,0.0
05149,0.0
05147,0.0
05148,0.0
05152,0.0
05153,0.0
05151,0.0
05154,0.0
05155,0.0
05156,0.0
05157,0.0
05158,0.0
05159,0.0
05160,0.3105590062111801
05161,0.130718954248366
05162,0.0
05163,0.0
05164,0.0
05165,0.0
05166,0.0
05167,0.0
05168,0.13381762569298414
05169,0.0
05170,0.0
05171,0.0
05172,0.0
05173,1.2195121951219512
05174,1.36986301369863
05175,0.0
05176,0.0
05177,0.0
05178,0.2583979328165375
05179,0.0
05180,0.0
05181,0.0
05182,0.0
05183,0.0
05184,0.7326007326007326
05185,0.0
05186,0.05701254275940707
05187,0.0
05188,0.0
05189,0.0
05190,0.0
05191,0.0
05192,0.0
05193,0.0
05194,0.0
05195,0.0
05196,0.0
05197,0.0
05198,0.0
05199,2.272727272727273
05200,0.0
05201,0.0
05206,0.0
05208,0.0
05207,0.0
05209,0.0
05901,0.0
05210,0.0
05211,0.0
05212,0.0
05213,0.0
05214,3.0303030303030303
05215,0.6134969325153374
05216,0.0
05217,1.8867924528301887
05218,0.0
05219,0.0
05220,0.0
05231,0.5813953488372093
05204,0.1375515818431912
05205,0.0
05222,0.0
05221,0.0
