CTOT,ECR4
0114036,13.704194260485652
0114037,17.948529411764707
0114038,18.861581920903955
0114039,17.12142857142857
0114040,19.914285714285715
0114041,19.896551724137932
0114042,19.076023391812864
0114043,15.105621805792163
0114044,19.393939393939394
0114045,19.555555555555557
0114046,18.238805970149254
0114047,13.883720930232558
0222228,12.428571428571429
1648027,14.818181818181818
1531067,11.905263157894737
0114052,13.893939393939394
1648028,10.4
0114066,19.5
1648039,13.142857142857142
1648040,13.375
1648041,11.307692307692308
1648042,9.857142857142858
1531065,12.548780487804878
0118001,15.666666666666666
0114053,16.64375
0114054,13.88
0114055,16.795774647887324
0114056,19.672514619883042
0114057,19.181159420289855
0114058,17.549618320610687
0114059,19.5
0114060,19.724444444444444
0114061,13.455026455026456
0114062,13.853535353535353
0114063,19.25
1531066,12.6
0709007,10.0
0114064,13.471544715447154
0114065,19.38095238095238
1648059,13.294117647058824
1648060,10.416666666666666
0114067,18.017241379310345
0114068,13.5
0114069,13.86214953271028
0114070,13.525925925925925
0114071,12.5662100456621
0747070,10.0
0114072,14.708333333333334
0114073,12.767590618336888
0114074,13.625
1012036,10.880597014925373
1648058,11.19047619047619
1648061,11.352941176470589
1648062,11.0
0114075,14.86046511627907
0114901,19.333333333333332
0114902,19.266666666666666
1531079,10.285714285714286
1215088,8.955752212389381
0118037,20.727272727272727
0118038,16.16216216216216
1648074,10.366666666666667
1648075,9.77450980392157
1648076,11.0
1648077,14.333333333333334
0118039,19.027397260273972
1046039,13.5
1012032,14.333333333333334
0705072,11.222222222222221
1531077,12.4875
1012037,7.451612903225806
1227002,8.936708860759493
0118005,19.125
0118006,21.11111111111111
1227004,7.317647058823529
1227005,10.602739726027398
1110144,11.6
0118002,17.195652173913043
0118003,19.938271604938272
1227006,7.267441860465116
1110145,10.25
1046237,17.0
1012033,11.80451127819549
1046043,12.5
1046044,10.156108597285067
0118004,18.424242424242426
1046085,15.744186046511627
1110143,11.4
1046053,15.0
0118007,14.624113475177305
1046054,19.0
1227007,8.61111111111111
0118011,18.133333333333333
0118012,17.404255319148938
0118013,15.007058823529412
1227008,9.117021276595745
1227009,8.866666666666667
1227010,9.851428571428572
0118014,19.84313725490196
0118015,19.55
0118010,15.929577464788732
0118016,18.74074074074074
0118017,17.916666666666668
1648084,16.4
0118018,19.53846153846154
0118020,15.516129032258064
0118021,30.333333333333332
1046055,15.75
1227011,8.016949152542374
1648087,9.037037037037036
1227020,8.275862068965518
1227021,8.036363636363637
1227022,8.223728813559323
0118028,17.095238095238095
0118029,16.64566929133858
0250005,10.101694915254237
0118022,20.288888888888888
0118023,17.200367647058822
0118024,14.583333333333334
1046086,14.4
0118025,17.625
1531906,13.142857142857142
1648082,15.0
1648083,14.0
1227024,7.684931506849315
1227025,9.771739130434783
1531907,14.5
1531908,10.571428571428571
1227026,8.193277310924369
1553059,12.068129707193311
1046225,13.8125
0118027,25.25
1553062,12.0
0118030,17.057142857142857
0118032,19.0
0118033,16.157894736842106
0118034,17.62162162162162
1553067,7.333333333333333
1553068,10.0
1553069,12.068129707193311
1553070,12.068129707193311
1553078,13.57981220657277
1531904,11.0
1531905,13.285714285714286
1553080,8.0
1553081,8.561643835616438
1110146,8.677631578947368
1553060,9.0
1553061,12.068129707193311
1553063,8.020833333333334
1553064,12.068129707193311
1553065,12.068129707193311
1553066,9.0
1110147,10.34375
1110148,11.49074074074074
1046226,15.75
1227027,10.015151515151516
1227028,9.71951219512195
1046227,15.0
0705077,11.090909090909092
1601001,10.894736842105264
1601002,10.224489795918368
1601014,11.342857142857143
1046216,16.5
1726086,8.692307692307692
1648097,12.625
1648901,13.7
1648902,15.578947368421053
1648903,14.6875
1232065,10.0625
0705078,11.523809523809524
1726003,9.8
1232066,8.575757575757576
0709068,8.333333333333334
1531080,11.685714285714285
1531081,9.181818181818182
1232063,7.385542168674699
1232064,9.666666666666666
1232068,9.1
1046228,11.581818181818182
1232069,10.416666666666666
1232070,7.39344262295082
1232071,7.739130434782608
1232072,7.914285714285715
0118040,19.88
0118035,20.040816326530614
0118042,19.859649122807017
0118043,20.0
1232080,7.892857142857143
1232081,9.677966101694915
1232082,9.80327868852459
1726087,11.076923076923077
1232088,7.306818181818182
1046219,12.666666666666666
1046220,14.118518518518519
1110203,10.210084033613445
0705084,10.733333333333333
1232089,7.705357142857143
1232090,9.227272727272727
1232091,7.902597402597403
1046221,12.11111111111111
1236002,10.894736842105264
1236003,12.029411764705882
1236004,12.7
1046222,16.0
0118047,23.285714285714285
1236013,8.242424242424242
1046223,19.5
1046217,15.2
1046218,13.625
1046229,9.513513513513514
1046230,17.59090909090909
1726009,11.894736842105264
0118044,17.962962962962962
0250231,12.666666666666666
1726004,8.078125
1726005,11.041666666666666
1726006,12.75
1726007,12.15625
0250162,11.157894736842104
1726008,12.473684210526315
1726010,11.8
1046056,13.3
0250163,12.008849557522124
0118045,14.84732824427481
0118046,12.86530612244898
0753031,8.0
0118048,19.842105263157894
0118049,17.9
0753032,8.0
1726017,9.042553191489361
1726021,10.541176470588235
0753033,12.068129707193311
1726023,10.958333333333334
1726024,11.966666666666667
1046064,16.5
1046231,13.394736842105264
1726025,11.636363636363637
1046065,17.4
1046232,9.284313725490197
1046233,17.341463414634145
1046234,10.075
1046235,16.97826086956522
1046236,12.571428571428571
1046040,13.777777777777779
1046066,12.068129707193311
1046038,9.17361111111111
1726157,11.75
1046041,9.210526315789474
1046042,13.607142857142858
0753034,8.0
1046045,14.870967741935484
1046046,12.6875
0250239,9.631578947368421
0250240,12.100334448160535
1046047,14.444444444444445
1046048,16.0
1012131,8.904761904761905
0118050,16.217391304347824
0705085,17.23076923076923
0118051,16.43243243243243
0118053,16.467625899280577
0118054,17.53846153846154
0118056,15.447867298578199
1110164,9.153846153846153
1046049,14.6
1046050,9.220588235294118
1046051,14.454545454545455
1046052,14.0
1046057,14.2
1046058,12.666666666666666
1046240,13.285714285714286
1046059,14.285714285714286
1046060,16.714285714285715
1046061,16.0
1046241,9.71875
1046062,15.121212121212121
1046063,15.142857142857142
0753010,9.0
1046067,16.0
1046068,14.2
1046069,16.0
1726075,12.0625
1046070,15.18918918918919
1236016,7.987012987012987
1236017,9.293906810035843
1110149,11.789473684210526
1726076,11.875
1110159,10.17741935483871
1046242,10.4
1110160,11.45945945945946
1110161,12.0
1110162,10.955974842767295
1110163,11.96875
0250176,11.0
1046239,9.788990825688073
1726077,8.384615384615385
1046243,12.068129707193311
1046244,16.014084507042252
0250188,10.222222222222221
0250189,11.964285714285714
1046245,12.11111111111111
1110184,11.666666666666666
1236021,11.894736842105264
1236022,12.523809523809524
1236023,13.545454545454545
1236024,8.509146341463415
1110185,9.813953488372093
1110186,11.237410071942445
1110165,12.0
1110187,10.0
0709382,8.923076923076923
1110166,11.608695652173912
1012078,8.342857142857143
1110172,10.851063829787234
1726028,10.074074074074074
1726027,8.846153846153847
1726029,9.2
1726030,9.5
0118057,30.75
0753035,8.0
0118059,21.90909090909091
1110188,11.75
0753036,8.268817204301076
0753037,10.0
0753038,7.5
1110183,11.153846153846153
1012073,9.09375
1110192,11.838709677419354
1012074,14.181818181818182
1012079,8.675675675675675
1012080,8.040865384615385
1046083,15.15
1012081,10.857142857142858
0753039,9.5
1726080,9.452830188679245
1726081,9.2
0129036,15.458333333333334
1046084,15.0
1012077,14.266666666666667
1012072,9.021897810218977
0753040,10.0
1012075,8.375
1012076,9.235294117647058
0222167,14.0
1046087,9.214285714285714
1046088,8.84
1046089,11.975609756097562
1726082,8.071428571428571
1726083,10.029411764705882
1726084,13.476190476190476
0222168,10.5625
1046090,13.833333333333334
1046091,13.6
0222176,11.5625
1012105,9.8375
0222202,11.571428571428571
0118061,18.954545454545453
0118062,28.142857142857142
0118063,16.632653061224488
0118064,22.660714285714285
0118065,17.846153846153847
1012106,10.785714285714286
1012107,11.625
1012108,9.666666666666666
1012109,10.533333333333333
1012110,11.047619047619047
1726088,9.818181818181818
1726091,8.007042253521126
0222233,8.75
1110193,11.758620689655173
1726092,10.666666666666666
0709019,10.666666666666666
1110194,11.838709677419354
1110195,10.990697674418605
1110196,12.777777777777779
0118066,18.146341463414632
0244187,9.85
0118067,14.86046511627907
0118068,19.417721518987342
0118069,16.263157894736842
0250028,9.695652173913043
0118070,18.714285714285715
0118071,18.88607594936709
0118072,17.4468085106383
0118074,16.25581395348837
0118076,19.404040404040405
1012133,8.5
1110197,10.947368421052632
1012137,8.857142857142858
1012138,13.387096774193548
1012139,7.731543624161074
1110201,10.9
1110202,11.4
1012130,8.083333333333334
0250010,11.416666666666666
1110204,13.604166666666666
1110205,9.833333333333334
1110206,14.25
1012132,11.173913043478262
0222064,11.885714285714286
1012134,9.5
1012140,10.07843137254902
1012135,13.581818181818182
1012136,13.0
1012141,8.552238805970148
1046904,17.0
1106001,14.0
0118077,16.666666666666668
1012142,8.641509433962264
1012901,13.25
0118078,22.753246753246753
1726093,8.623529411764705
1046247,9.512396694214877
1046246,11.340909090909092
1726094,9.071428571428571
1726095,9.23076923076923
1726096,11.5
1106005,13.04
1106006,11.212707182320441
1106007,12.72635135135135
1726032,8.731707317073171
1726033,12.0
1726035,8.363636363636363
