CTOT,D1
0222244,1.0
0129003,1.0
0129004,1.0
0244123,1.0
0129005,1.0
0129006,1.0
0129007,1.0
0129021,1.0
0129008,1.0
1620001,1.0
0747021,1.0
0129009,1.0
0129010,1.0
0129011,1.0
0129012,1.0
0129013,1.0
0129028,1.0
0129014,1.0
0129015,1.0
1620005,1.0
0129016,1.0
0129017,1.0
0129018,1.0
1653002,0.0
0129019,1.0
0129022,1.0
1620002,1.0
0129023,1.0
1620003,1.0
1620004,1.0
0129024,1.0
0129025,1.0
0129026,1.0
0129027,1.0
0129029,1.0
0747071,1.0
0129030,1.0
0747168,1.0
0129031,1.0
0129032,1.0
0129033,1.0
0129034,1.0
0129035,1.0
0129037,1.0
0129038,1.0
0129044,1.0
0129045,1.0
0129046,1.0
0129039,1.0
0129040,1.0
0129041,1.0
0749061,1.0
0129042,1.0
0129043,1.0
1620007,1.0
0129047,1.0
0129048,1.0
0129049,1.0
0129063,1.0
0129050,1.0
0129051,1.0
0244220,1.0
0129052,1.0
1620009,1.0
0129053,1.0
0129054,1.0
0129055,1.0
1620010,1.0
0250053,1.0
0129056,1.0
0129057,1.0
0129066,1.0
0129067,1.0
0129059,1.0
0141001,1.0
0141002,1.0
0129060,1.0
0129061,1.0
0129062,1.0
0222214,1.0
1236030,1.0
0222221,1.0
0129064,1.0
1236031,1.0
0129065,1.0
1236032,1.0
0222245,1.0
0129068,1.0
0129069,1.0
0129070,1.0
0129071,1.0
0244003,1.0
0129072,1.0
0250054,1.0
0250055,1.0
0129073,1.0
1236033,1.0
0129074,1.0
0129075,1.0
0129076,1.0
1620011,1.0
0129077,1.0
1620012,1.0
0244006,1.0
0129079,1.0
0129080,1.0
0129081,1.0
0129082,1.0
0141086,1.0
0141087,1.0
0129083,1.0
0129084,1.0
0250070,1.0
0129085,1.0
1236039,1.0
0129086,1.0
0250265,1.0
0129087,1.0
0129088,1.0
0129089,1.0
0129090,1.0
0129091,1.0
0129092,1.0
0129093,1.0
0129094,1.0
0244147,1.0
0129095,1.0
0250277,1.0
0129096,1.0
0129097,1.0
0141003,1.0
0129098,1.0
0141004,1.0
0141005,1.0
0244148,1.0
0129099,1.0
0129100,1.0
0141088,1.0
0129901,1.0
0129902,1.0
0129903,1.0
0129904,1.0
0141006,1.0
0250281,1.0
0141007,1.0
0141008,1.0
0141009,1.0
0141019,1.0
0141010,1.0
0141011,1.0
0141012,1.0
0141013,1.0
1726163,1.0
0141014,1.0
0141015,1.0
0141016,1.0
0141017,1.0
0141018,1.0
0141020,1.0
0141021,1.0
0244025,1.0
0141022,1.0
0141092,1.0
0141023,1.0
0141024,1.0
0141029,1.0
0141030,1.0
0141025,1.0
0141031,1.0
0141032,1.0
0141033,1.0
0244226,1.0
0141026,1.0
0141027,1.0
0141028,1.0
0141034,1.0
0141044,1.0
0141045,1.0
0141035,1.0
0141036,1.0
0141037,1.0
0141038,1.0
0141039,1.0
0141040,1.0
0141041,1.0
0141042,1.0
0709451,1.0
0141043,1.0
0141046,1.0
0141054,1.0
0141055,1.0
0141047,1.0
0141048,1.0
0141049,1.0
0141061,1.0
0141050,1.0
0141051,1.0
0141052,1.0
0141053,1.0
1236040,1.0
1236041,1.0
0141901,1.0
0141056,1.0
0141057,1.0
0222008,1.0
0141058,1.0
0244227,1.0
0141059,1.0
0141060,1.0
0244228,1.0
0141062,1.0
0222067,1.0
0141063,1.0
0141084,1.0
0141085,1.0
0141064,1.0
0141065,1.0
0141066,1.0
0141067,1.0
0141068,1.0
0141069,1.0
0222075,1.0
0141070,1.0
0141071,1.0
0222079,1.0
0141072,1.0
0141073,1.0
1620048,1.0
0141074,1.0
0244063,1.0
0141075,1.0
0141076,1.0
0141077,1.0
0753052,0.0
0141078,1.0
0141079,1.0
0141080,1.0
0141081,1.0
0141082,1.0
0141083,1.0
0753011,0.0
1236048,1.0
